severity,issue_type,question_id,paper_family,paper,question_number,question_image_path,mark_scheme_image_path,question_image_url,mark_scheme_image_url,details,evidence,confirmed_visual_observation
risk,pipeline_image_review_flags,01summer09_q06,p1,01summer09,6,p1/01summer09/questions/q06.png,p1/01summer09/mark_scheme/q06.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/01summer09/questions/q06.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/01summer09/mark_scheme/q06.png,Pipeline reported image/crop/content review flags,paper_total_mismatch,
risk,validation_status_review_with_image_flags,01summer09_q06,p1,01summer09,6,p1/01summer09/questions/q06.png,p1/01summer09/mark_scheme/q06.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/01summer09/questions/q06.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/01summer09/mark_scheme/q06.png,Pipeline validation_status='review' with image-related flags,paper_total_mismatch,
risk,pipeline_image_review_flags,01summer09_q07,p1,01summer09,7,p1/01summer09/questions/q07.png,p1/01summer09/mark_scheme/q07.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/01summer09/questions/q07.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/01summer09/mark_scheme/q07.png,Pipeline reported image/crop/content review flags,paper_total_mismatch,
risk,validation_status_review_with_image_flags,01summer09_q07,p1,01summer09,7,p1/01summer09/questions/q07.png,p1/01summer09/mark_scheme/q07.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/01summer09/questions/q07.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/01summer09/mark_scheme/q07.png,Pipeline validation_status='review' with image-related flags,paper_total_mismatch,
risk,pipeline_image_review_flags,01summer09_q08,p1,01summer09,8,p1/01summer09/questions/q08.png,p1/01summer09/mark_scheme/q08.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/01summer09/questions/q08.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/01summer09/mark_scheme/q08.png,Pipeline reported image/crop/content review flags,paper_total_mismatch,
risk,validation_status_review_with_image_flags,01summer09_q08,p1,01summer09,8,p1/01summer09/questions/q08.png,p1/01summer09/mark_scheme/q08.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/01summer09/questions/q08.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/01summer09/mark_scheme/q08.png,Pipeline validation_status='review' with image-related flags,paper_total_mismatch,
risk,pipeline_image_review_flags,01summer09_q09,p1,01summer09,9,p1/01summer09/questions/q09.png,p1/01summer09/mark_scheme/q09.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/01summer09/questions/q09.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/01summer09/mark_scheme/q09.png,Pipeline reported image/crop/content review flags,"missing_image_detection_failure,paper_total_mismatch",
risk,validation_status_fail,01summer09_q09,p1,01summer09,9,p1/01summer09/questions/q09.png,p1/01summer09/mark_scheme/q09.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/01summer09/questions/q09.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/01summer09/mark_scheme/q09.png,Pipeline validation_status='fail',"missing_image_detection_failure,paper_total_mismatch",
risk,pipeline_image_review_flags,01summer09_q10,p1,01summer09,10,p1/01summer09/questions/q10.png,p1/01summer09/mark_scheme/q10.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/01summer09/questions/q10.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/01summer09/mark_scheme/q10.png,Pipeline reported image/crop/content review flags,paper_total_mismatch,
risk,validation_status_review_with_image_flags,01summer09_q10,p1,01summer09,10,p1/01summer09/questions/q10.png,p1/01summer09/mark_scheme/q10.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/01summer09/questions/q10.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/01summer09/mark_scheme/q10.png,Pipeline validation_status='review' with image-related flags,paper_total_mismatch,
risk,pipeline_image_review_flags,01summer09_q11,p1,01summer09,11,p1/01summer09/questions/q11.png,p1/01summer09/mark_scheme/q11.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/01summer09/questions/q11.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/01summer09/mark_scheme/q11.png,Pipeline reported image/crop/content review flags,paper_total_mismatch,
risk,validation_status_review_with_image_flags,01summer09_q11,p1,01summer09,11,p1/01summer09/questions/q11.png,p1/01summer09/mark_scheme/q11.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/01summer09/questions/q11.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/01summer09/mark_scheme/q11.png,Pipeline validation_status='review' with image-related flags,paper_total_mismatch,
risk,pipeline_image_review_flags,11autumn14_q01,p1,11autumn14,1,p1/11autumn14/questions/q01.png,p1/11autumn14/mark_scheme/q01.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn14/questions/q01.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn14/mark_scheme/q01.png,Pipeline reported image/crop/content review flags,"paper_total_mismatch,polluted_pass_requires_review",
risk,validation_status_fail,11autumn14_q01,p1,11autumn14,1,p1/11autumn14/questions/q01.png,p1/11autumn14/mark_scheme/q01.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn14/questions/q01.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn14/mark_scheme/q01.png,Pipeline validation_status='fail',"paper_total_mismatch,polluted_pass_requires_review",
risk,pipeline_image_review_flags,11autumn14_q02,p1,11autumn14,2,p1/11autumn14/questions/q02.png,p1/11autumn14/mark_scheme/q02.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn14/questions/q02.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn14/mark_scheme/q02.png,Pipeline reported image/crop/content review flags,"paper_total_mismatch,polluted_pass_requires_review",
risk,validation_status_fail,11autumn14_q02,p1,11autumn14,2,p1/11autumn14/questions/q02.png,p1/11autumn14/mark_scheme/q02.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn14/questions/q02.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn14/mark_scheme/q02.png,Pipeline validation_status='fail',"paper_total_mismatch,polluted_pass_requires_review",
risk,pipeline_image_review_flags,11autumn14_q03,p1,11autumn14,3,p1/11autumn14/questions/q03.png,p1/11autumn14/mark_scheme/q03.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn14/questions/q03.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn14/mark_scheme/q03.png,Pipeline reported image/crop/content review flags,"paper_total_mismatch,polluted_pass_requires_review",
risk,validation_status_fail,11autumn14_q03,p1,11autumn14,3,p1/11autumn14/questions/q03.png,p1/11autumn14/mark_scheme/q03.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn14/questions/q03.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn14/mark_scheme/q03.png,Pipeline validation_status='fail',"paper_total_mismatch,polluted_pass_requires_review",
risk,pipeline_image_review_flags,11autumn14_q04,p1,11autumn14,4,p1/11autumn14/questions/q04.png,p1/11autumn14/mark_scheme/q04.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn14/questions/q04.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn14/mark_scheme/q04.png,Pipeline reported image/crop/content review flags,"paper_total_mismatch,polluted_pass_requires_review",
risk,validation_status_fail,11autumn14_q04,p1,11autumn14,4,p1/11autumn14/questions/q04.png,p1/11autumn14/mark_scheme/q04.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn14/questions/q04.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn14/mark_scheme/q04.png,Pipeline validation_status='fail',"paper_total_mismatch,polluted_pass_requires_review",
risk,pipeline_image_review_flags,11autumn14_q05,p1,11autumn14,5,p1/11autumn14/questions/q05.png,p1/11autumn14/mark_scheme/q05.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn14/questions/q05.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn14/mark_scheme/q05.png,Pipeline reported image/crop/content review flags,paper_total_mismatch,
risk,validation_status_review_with_image_flags,11autumn14_q05,p1,11autumn14,5,p1/11autumn14/questions/q05.png,p1/11autumn14/mark_scheme/q05.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn14/questions/q05.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn14/mark_scheme/q05.png,Pipeline validation_status='review' with image-related flags,paper_total_mismatch,
risk,pipeline_image_review_flags,11autumn14_q06,p1,11autumn14,6,p1/11autumn14/questions/q06.png,p1/11autumn14/mark_scheme/q06.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn14/questions/q06.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn14/mark_scheme/q06.png,Pipeline reported image/crop/content review flags,paper_total_mismatch,
risk,validation_status_review_with_image_flags,11autumn14_q06,p1,11autumn14,6,p1/11autumn14/questions/q06.png,p1/11autumn14/mark_scheme/q06.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn14/questions/q06.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn14/mark_scheme/q06.png,Pipeline validation_status='review' with image-related flags,paper_total_mismatch,
risk,pipeline_image_review_flags,11autumn14_q07,p1,11autumn14,7,p1/11autumn14/questions/q07.png,p1/11autumn14/mark_scheme/q07.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn14/questions/q07.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn14/mark_scheme/q07.png,Pipeline reported image/crop/content review flags,paper_total_mismatch,
risk,validation_status_review_with_image_flags,11autumn14_q07,p1,11autumn14,7,p1/11autumn14/questions/q07.png,p1/11autumn14/mark_scheme/q07.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn14/questions/q07.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn14/mark_scheme/q07.png,Pipeline validation_status='review' with image-related flags,paper_total_mismatch,
risk,pipeline_image_review_flags,11autumn14_q08,p1,11autumn14,8,p1/11autumn14/questions/q08.png,p1/11autumn14/mark_scheme/q08.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn14/questions/q08.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn14/mark_scheme/q08.png,Pipeline reported image/crop/content review flags,paper_total_mismatch,
risk,validation_status_review_with_image_flags,11autumn14_q08,p1,11autumn14,8,p1/11autumn14/questions/q08.png,p1/11autumn14/mark_scheme/q08.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn14/questions/q08.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn14/mark_scheme/q08.png,Pipeline validation_status='review' with image-related flags,paper_total_mismatch,
risk,pipeline_image_review_flags,11autumn14_q09,p1,11autumn14,9,p1/11autumn14/questions/q09.png,p1/11autumn14/mark_scheme/q09.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn14/questions/q09.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn14/mark_scheme/q09.png,Pipeline reported image/crop/content review flags,"paper_total_mismatch,polluted_pass_requires_review",
risk,validation_status_fail,11autumn14_q09,p1,11autumn14,9,p1/11autumn14/questions/q09.png,p1/11autumn14/mark_scheme/q09.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn14/questions/q09.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn14/mark_scheme/q09.png,Pipeline validation_status='fail',"paper_total_mismatch,polluted_pass_requires_review",
risk,pipeline_image_review_flags,11autumn14_q10,p1,11autumn14,10,p1/11autumn14/questions/q10.png,p1/11autumn14/mark_scheme/q10.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn14/questions/q10.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn14/mark_scheme/q10.png,Pipeline reported image/crop/content review flags,"paper_total_mismatch,polluted_pass_requires_review",
risk,validation_status_fail,11autumn14_q10,p1,11autumn14,10,p1/11autumn14/questions/q10.png,p1/11autumn14/mark_scheme/q10.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn14/questions/q10.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn14/mark_scheme/q10.png,Pipeline validation_status='fail',"paper_total_mismatch,polluted_pass_requires_review",
risk,pipeline_image_review_flags,11autumn14_q11,p1,11autumn14,11,p1/11autumn14/questions/q11.png,p1/11autumn14/mark_scheme/q11.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn14/questions/q11.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn14/mark_scheme/q11.png,Pipeline reported image/crop/content review flags,paper_total_mismatch,
risk,validation_status_review_with_image_flags,11autumn14_q11,p1,11autumn14,11,p1/11autumn14/questions/q11.png,p1/11autumn14/mark_scheme/q11.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn14/questions/q11.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn14/mark_scheme/q11.png,Pipeline validation_status='review' with image-related flags,paper_total_mismatch,
risk,pipeline_image_review_flags,11autumn15_q01,p1,11autumn15,1,p1/11autumn15/questions/q01.png,p1/11autumn15/mark_scheme/q01.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn15/questions/q01.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn15/mark_scheme/q01.png,Pipeline reported image/crop/content review flags,paper_total_mismatch,
risk,validation_status_review_with_image_flags,11autumn15_q01,p1,11autumn15,1,p1/11autumn15/questions/q01.png,p1/11autumn15/mark_scheme/q01.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn15/questions/q01.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn15/mark_scheme/q01.png,Pipeline validation_status='review' with image-related flags,paper_total_mismatch,
risk,pipeline_image_review_flags,11autumn15_q02,p1,11autumn15,2,p1/11autumn15/questions/q02.png,p1/11autumn15/mark_scheme/q02.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn15/questions/q02.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn15/mark_scheme/q02.png,Pipeline reported image/crop/content review flags,paper_total_mismatch,
risk,validation_status_review_with_image_flags,11autumn15_q02,p1,11autumn15,2,p1/11autumn15/questions/q02.png,p1/11autumn15/mark_scheme/q02.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn15/questions/q02.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn15/mark_scheme/q02.png,Pipeline validation_status='review' with image-related flags,paper_total_mismatch,
risk,pipeline_image_review_flags,11autumn15_q03,p1,11autumn15,3,p1/11autumn15/questions/q03.png,p1/11autumn15/mark_scheme/q03.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn15/questions/q03.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn15/mark_scheme/q03.png,Pipeline reported image/crop/content review flags,paper_total_mismatch,
risk,validation_status_review_with_image_flags,11autumn15_q03,p1,11autumn15,3,p1/11autumn15/questions/q03.png,p1/11autumn15/mark_scheme/q03.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn15/questions/q03.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn15/mark_scheme/q03.png,Pipeline validation_status='review' with image-related flags,paper_total_mismatch,
risk,pipeline_image_review_flags,11autumn15_q04,p1,11autumn15,4,p1/11autumn15/questions/q04.png,p1/11autumn15/mark_scheme/q04.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn15/questions/q04.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn15/mark_scheme/q04.png,Pipeline reported image/crop/content review flags,paper_total_mismatch,
risk,validation_status_review_with_image_flags,11autumn15_q04,p1,11autumn15,4,p1/11autumn15/questions/q04.png,p1/11autumn15/mark_scheme/q04.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn15/questions/q04.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn15/mark_scheme/q04.png,Pipeline validation_status='review' with image-related flags,paper_total_mismatch,
risk,pipeline_image_review_flags,11autumn15_q05,p1,11autumn15,5,p1/11autumn15/questions/q05.png,p1/11autumn15/mark_scheme/q05.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn15/questions/q05.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn15/mark_scheme/q05.png,Pipeline reported image/crop/content review flags,paper_total_mismatch,
risk,validation_status_review_with_image_flags,11autumn15_q05,p1,11autumn15,5,p1/11autumn15/questions/q05.png,p1/11autumn15/mark_scheme/q05.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn15/questions/q05.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn15/mark_scheme/q05.png,Pipeline validation_status='review' with image-related flags,paper_total_mismatch,
risk,pipeline_image_review_flags,11autumn15_q06,p1,11autumn15,6,p1/11autumn15/questions/q06.png,p1/11autumn15/mark_scheme/q06.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn15/questions/q06.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn15/mark_scheme/q06.png,Pipeline reported image/crop/content review flags,paper_total_mismatch,
risk,validation_status_review_with_image_flags,11autumn15_q06,p1,11autumn15,6,p1/11autumn15/questions/q06.png,p1/11autumn15/mark_scheme/q06.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn15/questions/q06.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn15/mark_scheme/q06.png,Pipeline validation_status='review' with image-related flags,paper_total_mismatch,
risk,pipeline_image_review_flags,11autumn15_q07,p1,11autumn15,7,p1/11autumn15/questions/q07.png,p1/11autumn15/mark_scheme/q07.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn15/questions/q07.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn15/mark_scheme/q07.png,Pipeline reported image/crop/content review flags,paper_total_mismatch,
risk,validation_status_review_with_image_flags,11autumn15_q07,p1,11autumn15,7,p1/11autumn15/questions/q07.png,p1/11autumn15/mark_scheme/q07.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn15/questions/q07.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn15/mark_scheme/q07.png,Pipeline validation_status='review' with image-related flags,paper_total_mismatch,
risk,pipeline_image_review_flags,11autumn15_q08,p1,11autumn15,8,p1/11autumn15/questions/q08.png,p1/11autumn15/mark_scheme/q08.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn15/questions/q08.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn15/mark_scheme/q08.png,Pipeline reported image/crop/content review flags,paper_total_mismatch,
risk,validation_status_review_with_image_flags,11autumn15_q08,p1,11autumn15,8,p1/11autumn15/questions/q08.png,p1/11autumn15/mark_scheme/q08.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn15/questions/q08.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn15/mark_scheme/q08.png,Pipeline validation_status='review' with image-related flags,paper_total_mismatch,
risk,pipeline_image_review_flags,11autumn15_q09,p1,11autumn15,9,p1/11autumn15/questions/q09.png,p1/11autumn15/mark_scheme/q09.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn15/questions/q09.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn15/mark_scheme/q09.png,Pipeline reported image/crop/content review flags,paper_total_mismatch,
risk,validation_status_review_with_image_flags,11autumn15_q09,p1,11autumn15,9,p1/11autumn15/questions/q09.png,p1/11autumn15/mark_scheme/q09.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn15/questions/q09.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/11autumn15/mark_scheme/q09.png,Pipeline validation_status='review' with image-related flags,paper_total_mismatch,
